"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0001224","서울 강남구","에스제이에너지산업(주) 개포주유소","서울 강남구 양재대로 339","2019년 12월","GS칼텍스","일반","2045.00","1676.71","1523.16","1330.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 07월","S-OIL","일반","1784.10","1584.10","1476.35","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 08월","S-OIL","일반","1774.35","1605.45","1484.13","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 09월","S-OIL","일반","1793.83","1643.83","1524.17","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 10월","S-OIL","일반","1804.10","1652.77","1532.29","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 11월","S-OIL","일반","1782.67","1628.67","1500.67","0.00"
"A0010269","서울 강남구","에쓰-오일㈜직영 개나리주유소","서울 강남구 언주로 423 (역삼동)","2019년 12월","S-OIL","일반","1785.55","1639.42","1498.13","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 07월","SK에너지","일반","1853.00","1653.00","1533.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 08월","SK에너지","일반","1853.00","1653.00","1533.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 09월","SK에너지","일반","1892.00","1693.00","1587.67","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 10월","SK에너지","일반","1898.00","1698.00","1598.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 11월","SK에너지","일반","1898.00","1698.00","1598.00","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 12월","GS칼텍스","일반","1788.70","1642.10","1502.77","0.00"
"A0010267","서울 강남구","역삼주유소","서울 강남구 역삼로 205","2019년 12월","SK에너지","일반","1898.00","1698.00","1598.00","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 07월","SK에너지","셀프","2292.84","1980.61","1839.48","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 08월","SK에너지","셀프","2298.00","1993.06","1852.06","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 09월","SK에너지","셀프","2325.67","2012.00","1887.80","0.00"
"A0009835","서울 강남구","오일프러스 셀프","서울 강남구 남부순환로 2651 (도곡동)","2019년 10월","SK에너지","셀프","2348.00","2044.61","1891.55","0.00"
