"시(詩) 쓰는 카카오 AI '시아', 첫번째 시집 '시를 쓰는 이유' 출간"
'치매' ESG 나선 SK케미칼… AI 인지개선 프로그램 보급
이제 AI컴퓨터비전과 360도 카메라로 건설현장 관리한다
"[AI 주간 브리핑] 신기방기 AI모델들, 인기몰이 중     "
"SK케미칼, 36개 기관에 AI 기반 인지개선프로그램 보급"
"포스코, AI기술 자문위원회 신설… 트렌드 공유·미래사업 조언"
[단독] n번방 사건 뒤 'AI 탐지' 도입했지만…이름값 '글쎄'
"KT, S/W·AI 인재 육성 위해 EBS와 맞손"
"AI·우주 분야 등 전문가 한 곳에?···대전시, '월드포럼' 개최"
"롯데정보통신, 보안 AI로 고도화된 사이버위협 대응"
한밤중 대교 위 왔다갔다…극단적 선택 직전 AI가 구조했다
"에듀윌, 인공지능 합격비서 ‘AI 패스’ 만든다"
"DGIST 창업기업 ㈜유니바, AI학습용 데이터 구축 지원사업 선정"
"중기부, 194억 투입 AI로봇 등 154개 기업 지원"
"삼진제약, 캐나다 AI 기업과 신약개발 공동연구"
"메디웨일 ""망막 검사로 심혈관질환 예측하는 AI 의료기기 허가"""
"포스코그룹, AI기술 자문위원회 신설로 ""체계 구축"""
"금융위, AI 활용 활성화한다…'금융 AI 데이터 라이브러리' 구축"
"롯데정보통신, '시큐파이 SOC'에 보안 AI 모델 적용"
"현대차 연구개발본부, 대규모 경력R&D 인재 모집!... AI 활용 화상 인터뷰 적..."
"괴산군의회 ""괴산에 'AI 영재고' 유치해야"" 결의문 채택"
"포스코그룹, 전문가 20여명 참여한 AI 기술 자문위원회 신설"
금융분야 AI 경쟁력 키운다…관련 제도·규제 혁신
"삼성전자, AI 인재 발굴·연구 위한 경연장 '삼성 AI 챌린지' 개최"
[농정춘추] 단순농작업 혁신 위한 AI 로봇 개발과 보급 필요성
[동아광장/이성주]책임감 있는 AI
"에듀윌, 공무원 수험생 대상 AI 합격진단 서비스 오픈"
"SK(주) C&C, 울릉군보건의료원에 'AI 뇌출혈 영상 의료 솔루션' 공급"
"'금융 AI 데이터 라이브러리' 구축···""가명정보 재사용 허용"""
"KT 대구경북본부, 라마다 문경새재에 AI호텔 서비스 제공"
AI 적극 활용하는 포스코그룹... 스마트 제철소 이어 'AI 기술 자문위' 신설해...
"김소영 금융위 부위원장 ""AI 기술 고도화 필수적"""
"[Tech in Trend] 개인정보 침해 우려 줄이는 AI 알고리즘, 연합학습"
"세종충남대병원, 대화형 메신저 'AI 챗봇' 서비스 오픈"
"AI로 위조상품 꽉 잡는 마크비전, 260억원 투자 유치"
"리빌더AI-메가플랜, 가상공간 구축위해 모델링 전문 기업 '맞손'"
"딥노이드, AI 기반 흉부 엑스레이 진단 논문 국제학술지 게재"
"금융위, 금융분야 AI 활성화 나선다…""가명정보 재사용 허용"""
"에듀윌, 인공지능 합격비서 'AI-Pass'로 에듀테크 입지 강화"
AI가 쓴 시집 나온다
"SK㈜ C&C, 3시간 골든타임 잡는 ‘AI 뇌출혈 솔루션’ 울릉도에 공급"
인기 애니 '귀멸의 칼날' 속 캐릭터들을 'AI'로 현실세계에 소환하자 보인 실...
떨어지는 글쓰기 능력…AI가 작문 훈련 돕는다
"이글루코퍼레이션, KISA '보안 AI 데이터셋' 구축 사업 수주"
"삼성전자, '2022 삼성 AI 챌린지' 개최...""AI 우수 인력 발굴, 반도체, 디스플..."
